Date Local,NO2_AQI,O3_AQI,SO2_AQI,CO_AQI
2002-05-28,28,27,36.0,9.0
2002-05-29,32,38,21.0,9.0
2002-05-30,36,67,20.0,13.0
2002-05-31,22,50,1.0,13.0
2002-06-01,21,46,19.0,9.0
2002-06-02,12,58,9.0,10.0
2002-06-03,10,42,7.0,9.0
2002-06-04,22,41,4.0,9.0
2002-06-05,20,18,3.0,10.0
2002-06-06,31,38,16.0,9.0
2002-06-07,45,74,11.0,10.0
2002-06-08,46,127,27.0,11.0
2002-06-09,45,47,14.0,14.0
2002-06-10,20,24,31.0,10.0
2002-06-11,22,31,14.0,10.0
2002-06-12,46,51,31.0,14.0
2002-06-13,28,39,4.0,14.0
2002-06-14,13,31,1.0,5.0
2002-06-15,18,45,1.0,3.0
2002-06-16,33,40,27.0,5.0
2002-06-17,45,77,16.0,7.0
2002-06-18,32,71,24.0,7.0
2002-06-19,25,116,46.0,5.0
2002-06-20,29,132,19.0,7.0
2002-06-21,31,151,14.0,8.0
2002-06-22,47,169,16.0,11.0
2002-06-23,34,145,10.0,10.0
2002-06-24,27,54,24.0,8.0
2002-06-25,25,31,16.0,9.0
2002-06-26,10,58,31.0,7.0
2002-06-27,31,46,11.0,8.0
2002-06-28,43,90,10.0,8.0
2002-06-29,33,50,4.0,9.0
2002-06-30,23,31,17.0,6.0
2002-07-01,32,43,13.0,8.0
2002-07-02,48,84,27.0,10.0
2002-07-03,36,87,14.0,9.0
2002-07-04,48,145,14.0,9.0
2002-07-05,41,119,10.0,13.0
2002-07-06,24,90,11.0,9.0
2002-07-07,35,119,34.0,8.0
2002-07-08,31,147,7.0,8.0
2002-07-09,33,93,4.0,8.0
2002-07-10,35,31,20.0,10.0
2002-07-11,23,48,46.0,9.0
2002-07-12,32,42,23.0,8.0
2002-07-13,35,101,26.0,7.0
2002-07-14,34,116,23.0,7.0
2002-07-15,43,137,21.0,8.0
2002-07-16,43,100,49.0,11.0
2002-07-17,41,47,1.0,14.0
2002-07-18,29,26,34.0,9.0
2002-07-19,25,54,24.0,8.0
2002-07-20,28,106,7.0,9.0
2002-07-21,8,47,7.0,8.0
2002-07-22,17,46,29.0,7.0
2002-07-23,19,46,57.0,8.0
2002-07-24,44,48,34.0,9.0
2002-07-25,33,71,17.0,10.0
2002-07-26,18,48,13.0,9.0
2002-07-27,5,40,6.0,8.0
2002-07-28,4,36,9.0,7.0
2002-07-29,9,42,14.0,8.0
2002-07-30,41,97,20.0,10.0
2002-07-31,33,67,36.0,11.0
2002-08-01,29,74,51.0,10.0
2002-08-02,21,42,37.0,11.0
2002-08-03,25,129,14.0,10.0
2002-08-04,28,100,10.0,13.0
2002-08-05,45,61,4.0,15.0
2002-08-06,21,39,43.0,14.0
2002-08-07,26,35,57.0,11.0
2002-08-08,29,54,31.0,10.0
2002-08-09,34,140,19.0,11.0
2002-08-10,46,111,34.0,9.0
2002-08-11,26,43,21.0,7.0
2002-08-12,26,43,26.0,7.0
2002-08-13,13,34,24.0,7.0
2002-08-14,34,23,10.0,9.0
2002-08-15,18,25,11.0,9.0
2002-08-16,13,36,27.0,7.0
2002-08-17,18,36,27.0,8.0
2002-08-18,18,23,11.0,8.0
2002-08-19,24,47,14.0,8.0
2002-08-20,24,46,11.0,10.0
2002-08-21,26,36,30.0,9.0
2002-08-22,12,47,16.0,8.0
2002-08-23,25,32,9.0,10.0
2002-08-24,19,33,6.0,11.0
2002-08-25,35,37,14.0,11.0
2002-08-26,31,36,19.0,11.0
2002-08-27,27,54,29.0,11.0
2002-08-28,31,50,26.0,10.0
2002-08-29,27,47,14.0,10.0
2002-08-30,31,67,20.0,11.0
2002-08-31,42,87,21.0,14.0
2002-09-01,26,93,20.0,15.0
2002-09-02,18,42,3.0,11.0
2002-09-03,24,39,6.0,9.0
2002-09-04,42,45,29.0,6.0
2002-09-05,53,77,24.0,7.0
2002-09-06,55,106,26.0,9.0
2002-09-07,46,142,21.0,10.0
2002-09-08,37,111,9.0,8.0
2002-09-09,61,104,51.0,11.0
2002-09-10,42,71,7.0,13.0
2002-09-11,31,37,29.0,7.0
2002-09-12,42,41,14.0,8.0
2002-09-13,62,48,29.0,10.0
2002-09-14,55,101,23.0,11.0
2002-09-15,18,27,50.0,8.0
2002-09-16,45,36,26.0,11.0
2002-09-17,42,5,11.0,13.0
2002-09-18,27,24,11.0,13.0
2002-09-19,19,14,29.0,9.0
2002-09-20,20,15,17.0,9.0
2002-09-21,42,45,17.0,14.0
2002-09-22,29,25,4.0,14.0
2002-09-23,36,28,21.0,11.0
2002-09-24,36,22,21.0,11.0
2002-09-25,48,29,13.0,11.0
2002-09-26,41,26,50.0,13.0
2002-09-27,48,36,10.0,18.0
2002-09-28,42,58,30.0,9.0
2002-09-29,38,47,21.0,9.0
2002-09-30,32,42,10.0,9.0
2002-10-01,25,42,20.0,9.0
2002-10-02,24,33,6.0,8.0
2002-10-03,25,25,14.0,5.0
2002-10-04,21,31,4.0,3.0
2002-10-05,34,20,14.0,8.0
2002-10-06,30,30,11.0,9.0
2002-10-07,31,18,49.0,9.0
2002-10-08,31,17,14.0,11.0
2002-10-09,37,13,13.0,10.0
2002-10-10,32,23,31.0,11.0
2002-10-11,32,11,11.0,8.0
2002-10-12,20,25,29.0,5.0
2002-10-13,26,22,1.0,8.0
2002-10-14,32,19,19.0,10.0
2002-10-15,25,21,6.0,13.0
2002-10-16,30,14,9.0,5.0
2002-10-17,28,25,17.0,5.0
2002-10-18,27,39,29.0,7.0
2002-10-19,25,23,3.0,9.0
2002-10-20,30,20,10.0,13.0
2002-10-21,42,14,20.0,16.0
2002-10-22,30,6,85.0,15.0
2002-10-23,25,7,11.0,7.0
2002-10-24,33,7,24.0,10.0
2002-10-25,26,0,11.0,10.0
2002-10-26,16,14,3.0,10.0
2002-10-27,24,14,11.0,9.0
2002-10-28,23,7,21.0,9.0
2002-10-29,18,9,9.0,8.0
2002-10-30,25,4,16.0,11.0
2002-10-31,20,5,6.0,10.0
2003-03-31,37,44,6.0,10.0
2003-04-01,8,47,7.0,3.0
2003-04-02,34,45,21.0,5.0
2003-04-03,16,37,1.0,6.0
2003-04-04,19,31,14.0,6.0
2003-04-05,14,26,6.0,7.0
2003-04-06,18,23,4.0,7.0
2003-04-07,23,21,9.0,8.0
2003-04-08,18,21,26.0,8.0
2003-04-09,43,36,24.0,8.0
2003-04-10,47,36,30.0,11.0
2003-04-11,58,45,11.0,18.0
2003-04-12,46,49,20.0,15.0
2003-04-13,25,54,13.0,9.0
2003-04-14,36,61,16.0,8.0
2003-04-15,34,50,24.0,7.0
2003-04-16,20,48,19.0,8.0
2003-04-17,22,15,3.0,9.0
2003-04-18,20,25,16.0,9.0
2003-04-19,17,34,7.0,9.0
2003-04-20,12,31,10.0,9.0
2003-04-21,21,27,4.0,9.0
2003-04-22,42,41,14.0,11.0
2003-04-23,51,43,13.0,15.0
2003-04-24,22,34,14.0,5.0
2003-04-25,26,22,9.0,7.0
2003-04-26,43,42,7.0,9.0
2003-04-27,35,90,62.0,11.0
2003-04-28,35,27,14.0,9.0
2003-04-29,34,47,14.0,9.0
2003-04-30,16,61,39.0,9.0
2003-05-01,38,29,3.0,9.0
2003-05-02,36,23,9.0,10.0
2003-05-03,42,44,10.0,10.0
2003-05-04,20,35,23.0,9.0
2003-05-05,39,42,30.0,11.0
2003-05-06,31,34,17.0,14.0
2003-05-07,21,33,9.0,8.0
2003-05-08,26,18,11.0,9.0
2003-05-09,23,37,14.0,9.0
2003-05-10,16,36,9.0,9.0
2003-05-11,4,31,1.0,8.0
2003-05-12,28,38,1.0,8.0
2003-05-13,35,39,20.0,9.0
2003-05-14,27,35,14.0,9.0
2003-05-15,31,36,10.0,9.0
2003-05-16,20,35,21.0,9.0
2003-05-17,21,28,23.0,11.0
2003-05-18,19,30,7.0,10.0
