id,Year,State_Code,NO2_AQI
24005,2006,24,51
24005,2007,24,64
24005,2008,24,68
24005,2009,24,66
24005,2010,24,63
24005,2011,24,52
24005,2012,24,44
24005,2013,24,51
24005,2014,24,51
24005,2015,24,50
24005,2016,24,48
24023,2014,24,24
24023,2015,24,15
24023,2016,24,22
24033,2007,24,47
24033,2008,24,46
24033,2012,24,41
24033,2013,24,45
24033,2014,24,40
24033,2015,24,42
24033,2016,24,44
25025,2001,25,72
25025,2002,25,78
25025,2003,25,71
25025,2004,25,60
25025,2005,25,58
25025,2006,25,65
25025,2007,25,71
25025,2008,25,61
25025,2009,25,55
25025,2010,25,60
25025,2011,25,72
25025,2012,25,76
25025,2013,25,55
25025,2014,25,60
25025,2015,25,57
25025,2016,25,48
26081,2002,26,97
26081,2003,26,84
26081,2004,26,60
26081,2005,26,64
26081,2006,26,49
26081,2007,26,13
26163,2000,26,93
26163,2001,26,72
26163,2002,26,128
26163,2003,26,81
26163,2004,26,56
26163,2005,26,62
26163,2006,26,54
27003,2011,27,49
27003,2012,27,37
27003,2014,27,37
27003,2015,27,85
29189,2000,29,84
29189,2001,29,62
29189,2002,29,62
29189,2003,29,60
29189,2004,29,46
29189,2005,29,54
29510,2000,29,80
29510,2001,29,83
29510,2002,29,83
29510,2003,29,73
29510,2004,29,66
29510,2005,29,68
29510,2006,29,72
29510,2007,29,65
29510,2008,29,54
29510,2013,29,42
29510,2014,29,50
29510,2015,29,55
29510,2016,29,40
32003,2001,32,38
32003,2002,32,35
32003,2003,32,34
32031,2010,32,46
32031,2011,32,69
32031,2012,32,58
32031,2013,32,82
32031,2014,32,57
32031,2015,32,51
32031,2016,32,45
33011,2002,33,52
33011,2003,33,41
33011,2004,33,41
33011,2005,33,49
33011,2006,33,41
33011,2007,33,41
33011,2008,33,73
33011,2009,33,42
33011,2010,33,61
33015,2014,33,28
33015,2015,33,27
33015,2016,33,23
34007,2000,34,97
34007,2001,34,70
34007,2002,34,96
34007,2003,34,77
34007,2004,34,77
34007,2005,34,88
34007,2006,34,66
34007,2007,34,63
34007,2008,34,89
34007,2012,34,48
34007,2013,34,49
34007,2014,34,62
34007,2015,34,64
34013,2001,34,101
34013,2002,34,101
34013,2003,34,83
34013,2011,34,100
34013,2012,34,64
34013,2013,34,79
34013,2014,34,82
34013,2015,34,77
35001,2011,35,58
35001,2012,35,52
35001,2013,35,49
35001,2014,35,43
35001,2015,35,45
36005,2000,36,101
36005,2001,36,102
36005,2002,36,88
36005,2003,36,93
36005,2004,36,103
36005,2005,36,91
36005,2006,36,91
36005,2007,36,83
36005,2008,36,82
36005,2009,36,85
36005,2010,36,80
36005,2011,36,67
36005,2012,36,66
36005,2013,36,71
36005,2014,36,57
36005,2015,36,77
36005,2016,36,88
36055,2011,36,55
36081,2000,36,85
36081,2001,36,91
36081,2002,36,102
36081,2003,36,105
36081,2004,36,109
36081,2005,36,85
36081,2006,36,85
36081,2007,36,101
36081,2008,36,78
36081,2009,36,95
36081,2010,36,102
36081,2011,36,78
36081,2012,36,62
36081,2013,36,79
36081,2014,36,68
36081,2015,36,97
36081,2016,36,67
36101,2008,36,18
36101,2009,36,16
36101,2010,36,18
36101,2011,36,20
36103,2000,36,67
36103,2001,36,85
36103,2002,36,77
36103,2003,36,70
36103,2004,36,42
36103,2005,36,56
36103,2006,36,47
36103,2007,36,46
36103,2008,36,57
36103,2009,36,49
36103,2010,36,45
37067,2000,37,49
37067,2001,37,55
37067,2002,37,54
37067,2003,37,50
37067,2004,37,42
37119,2000,37,74
37119,2001,37,67
37119,2002,37,68
37119,2003,37,56
37119,2004,37,61
37119,2005,37,61
37119,2006,37,57
37119,2007,37,55
37119,2008,37,56
37119,2009,37,53
37119,2010,37,53
37119,2011,37,48
37119,2012,37,47
37119,2013,37,39
37119,2014,37,48
37119,2015,37,42
37119,2016,37,39
37183,2014,37,40
37183,2015,37,38
37183,2016,37,42
38017,2008,38,50
38017,2009,38,54
38017,2010,38,55
38017,2011,38,52
38017,2012,38,47
38017,2013,38,40
38017,2014,38,40
38017,2015,38,43
38017,2016,38,33
39009,2009,39,34
39035,2011,39,53
39035,2012,39,57
39035,2013,39,94
39035,2014,39,64
39035,2015,39,55
39035,2016,39,61
39061,2011,39,51
39061,2012,39,41
39061,2013,39,55
39061,2014,39,47
39061,2015,39,54
39061,2016,39,46
39103,2009,39,35
39103,2010,39,58
40001,2008,40,14
40001,2009,40,14
40001,2010,40,19
40001,2011,40,18
40001,2012,40,20
40001,2013,40,5
40021,2000,40,48
40021,2001,40,48
40021,2002,40,39
40021,2003,40,36
40021,2004,40,35
40021,2005,40,47
40021,2006,40,47
40021,2007,40,44
40021,2008,40,38
40021,2009,40,25
40071,2000,40,31
40071,2001,40,31
40071,2002,40,35
40071,2003,40,26
40071,2004,40,42
40109,2011,40,45
40109,2012,40,52
40109,2013,40,48
40109,2014,40,44
40109,2015,40,37
40115,2001,40,44
40115,2002,40,38
40115,2003,40,55
40115,2004,40,105
40115,2005,40,42
40143,2006,40,47
40143,2007,40,56
40143,2008,40,46
40143,2009,40,60
40143,2010,40,47
40143,2011,40,42
40143,2012,40,48
40143,2013,40,40
40143,2014,40,43
40143,2015,40,48
40143,2016,40,42
41051,2007,41,50
41051,2008,41,60
41051,2009,41,52
41051,2010,41,38
41051,2011,41,36
41051,2012,41,56
41051,2013,41,36
41051,2014,41,38
41051,2015,41,43
42001,2014,42,21
42001,2015,42,34
42001,2016,42,27
42003,2000,42,74
42003,2001,42,102
42003,2002,42,74
42003,2003,42,85
42003,2004,42,83
42003,2005,42,76
42003,2006,42,64
42003,2007,42,68
42003,2008,42,85
42003,2009,42,47
42003,2010,42,55
42003,2011,42,67
42003,2012,42,53
42003,2013,42,46
42003,2014,42,39
42007,2000,42,74
42007,2001,42,54
42007,2002,42,55
42007,2003,42,52
42007,2004,42,47
42007,2005,42,56
42007,2006,42,61
42007,2007,42,40
42007,2008,42,38
42011,2000,42,57
42011,2001,42,58
42011,2002,42,63
42011,2003,42,63
42011,2004,42,61
42011,2005,42,65
42011,2006,42,51
42011,2007,42,32
42011,2008,42,42
42011,2009,42,41
42011,2010,42,42
42011,2011,42,34
42011,2012,42,38
42011,2013,42,40
42011,2014,42,40
42013,2000,42,61
42013,2001,42,54
42013,2002,42,86
42013,2003,42,85
42013,2004,42,60
42013,2005,42,48
42013,2006,42,71
42013,2007,42,48
42013,2008,42,53
42017,2000,42,64
42017,2001,42,71
42017,2002,42,54
42017,2003,42,51
42017,2004,42,58
42017,2005,42,69
42017,2006,42,58
42017,2007,42,44
42017,2008,42,47
42017,2009,42,41
42017,2010,42,44
42017,2011,42,44
42017,2012,42,40
42017,2013,42,44
42017,2014,42,50
42021,2000,42,50
42021,2001,42,43
42021,2002,42,37
42021,2003,42,43
42021,2004,42,46
42021,2005,42,43
42021,2006,42,42
42021,2007,42,39
42021,2008,42,43
42021,2009,42,29
42021,2010,42,37
42021,2011,42,38
42021,2012,42,42
42021,2013,42,40
42021,2014,42,42
42021,2015,42,85
42021,2016,42,42
42043,2006,42,44
42043,2007,42,43
42043,2008,42,57
42049,2005,42,61
42049,2006,42,71
42049,2007,42,66
42049,2008,42,62
42049,2009,42,39
42049,2010,42,42
42049,2011,42,41
42049,2012,42,34
42049,2013,42,40
42049,2014,42,44
42049,2015,42,50
42049,2016,42,34
42069,2000,42,70
42069,2001,42,67
42069,2002,42,76
42069,2003,42,62
42069,2004,42,47
42069,2005,42,67
42069,2006,42,58
42069,2007,42,52
42069,2008,42,62
42071,2000,42,55
42071,2001,42,50
42071,2002,42,53
42071,2003,42,50
42071,2004,42,53
42071,2005,42,53
42071,2006,42,55
42071,2007,42,42
42071,2008,42,44
42073,2000,42,65
42073,2001,42,54
42073,2002,42,43
42073,2003,42,49
42073,2004,42,47
42073,2005,42,60
42073,2006,42,52
42073,2007,42,62
42073,2008,42,44
42079,2006,42,37
42079,2007,42,43
42079,2008,42,42
42091,2000,42,64
42091,2001,42,65
42091,2002,42,62
42091,2003,42,62
42091,2004,42,57
42091,2005,42,58
42091,2006,42,55
42091,2007,42,60
42091,2008,42,79
42095,2000,42,44
42095,2001,42,57
42095,2002,42,93
42095,2003,42,50
42095,2004,42,46
42095,2005,42,54
42095,2006,42,102
42095,2007,42,53
42095,2008,42,50
42101,2000,42,95
42101,2001,42,87
42101,2002,42,85
42101,2003,42,100
42101,2004,42,101
42101,2005,42,85
42101,2006,42,102
42101,2007,42,87
42101,2008,42,65
42101,2009,42,74
42101,2010,42,106
42101,2011,42,86
42101,2012,42,61
42101,2013,42,56
42101,2014,42,65
42125,2000,42,43
42125,2001,42,42
42125,2002,42,55
42125,2003,42,43
42125,2004,42,36
42125,2005,42,42
42125,2006,42,77
42125,2007,42,42
42125,2008,42,42
42125,2009,42,37
42125,2010,42,38
42125,2011,42,49
42125,2012,42,41
42125,2013,42,70
42125,2014,42,42
42125,2015,42,48
42129,2000,42,49
42129,2001,42,51
42129,2002,42,54
42129,2003,42,46
42129,2004,42,45
42129,2005,42,57
42129,2006,42,102
42129,2007,42,45
42129,2008,42,47
42133,2000,42,63
42133,2001,42,117
42133,2002,42,70
42133,2003,42,58
42133,2004,42,56
42133,2005,42,61
42133,2006,42,53
42133,2007,42,60
42133,2008,42,52
42133,2009,42,52
42133,2010,42,52
42133,2011,42,48
