id,Year,State_Code,SO2_AQI
17163,2012,17,40.0
17163,2013,17,30.0
17163,2014,17,43.0
17163,2015,17,41.0
17163,2016,17,40.0
18097,2000,18,89.0
18097,2001,18,102.0
18097,2002,18,103.0
18097,2003,18,111.0
18097,2004,18,108.0
18097,2005,18,130.0
18097,2006,18,117.0
18097,2007,18,74.0
18097,2008,18,64.0
18097,2009,18,104.0
18097,2010,18,71.0
18097,2011,18,97.0
18097,2012,18,161.0
18097,2013,18,108.0
18097,2014,18,105.0
18097,2015,18,102.0
18097,2016,18,13.0
19153,2007,19,6.0
19153,2008,19,3.0
19153,2009,19,6.0
19153,2010,19,3.0
19153,2011,19,1.0
19153,2012,19,1.0
19153,2013,19,1.0
19153,2014,19,1.0
19153,2015,19,3.0
19153,2016,19,0.0
19163,2006,19,10.0
19163,2007,19,44.0
19163,2008,19,76.0
19163,2009,19,29.0
19163,2010,19,30.0
19163,2011,19,41.0
19163,2012,19,23.0
19163,2013,19,36.0
19163,2014,19,19.0
19163,2015,19,14.0
19163,2016,19,4.0
20107,2000,20,57.0
20107,2001,20,26.0
20107,2002,20,36.0
20107,2003,20,47.0
20107,2004,20,26.0
20107,2005,20,31.0
20107,2006,20,26.0
20191,2000,20,19.0
20191,2001,20,7.0
20191,2002,20,17.0
20209,2000,20,101.0
20209,2001,20,79.0
20209,2002,20,66.0
20209,2003,20,137.0
20209,2004,20,80.0
20209,2005,20,97.0
20209,2006,20,110.0
20209,2007,20,102.0
20209,2008,20,107.0
20209,2009,20,69.0
20209,2010,20,103.0
20209,2011,20,87.0
20209,2012,20,95.0
20209,2013,20,66.0
20209,2014,20,84.0
20209,2015,20,74.0
20209,2016,20,19.0
21019,2000,21,112.0
21019,2001,21,114.0
21019,2002,21,76.0
21019,2003,21,118.0
21059,2000,21,108.0
21059,2001,21,92.0
21067,2000,21,71.0
21067,2001,21,100.0
21067,2002,21,90.0
21067,2003,21,54.0
21101,2000,21,136.0
21101,2001,21,126.0
21111,2000,21,128.0
21111,2001,21,137.0
21111,2002,21,120.0
21111,2013,21,39.0
21111,2014,21,51.0
21111,2015,21,21.0
21145,2000,21,43.0
21145,2001,21,34.0
22033,2000,22,99.0
22033,2001,22,111.0
22033,2002,22,109.0
22033,2003,22,97.0
22033,2004,22,117.0
22033,2005,22,105.0
22033,2006,22,101.0
22033,2007,22,113.0
22033,2008,22,104.0
22033,2009,22,106.0
22033,2010,22,102.0
22033,2011,22,70.0
22033,2012,22,51.0
22033,2013,22,65.0
22033,2014,22,54.0
22033,2015,22,37.0
22033,2016,22,29.0
22051,2005,22,21.0
22051,2006,22,39.0
23003,2006,23,30.0
23003,2007,23,94.0
23003,2008,23,23.0
23003,2009,23,43.0
23003,2010,23,14.0
23003,2011,23,11.0
23003,2012,23,72.0
23003,2013,23,6.0
23003,2014,23,4.0
23003,2015,23,9.0
23005,2008,23,57.0
23005,2009,23,62.0
23005,2010,23,39.0
23005,2011,23,31.0
23005,2012,23,34.0
23005,2013,23,34.0
23005,2014,23,31.0
23005,2015,23,23.0
23005,2016,23,17.0
24005,2006,24,112.0
24005,2007,24,145.0
24005,2008,24,89.0
24005,2009,24,75.0
24005,2010,24,47.0
24005,2011,24,72.0
24005,2012,24,36.0
24005,2013,24,44.0
24005,2014,24,61.0
24005,2015,24,43.0
24005,2016,24,20.0
24023,2014,24,54.0
24023,2015,24,46.0
24023,2016,24,11.0
24033,2007,24,59.0
24033,2008,24,52.0
24033,2012,24,26.0
24033,2013,24,17.0
24033,2014,24,20.0
24033,2015,24,16.0
24033,2016,24,10.0
25025,2001,25,62.0
25025,2002,25,56.0
25025,2003,25,76.0
25025,2004,25,52.0
25025,2005,25,67.0
25025,2006,25,37.0
25025,2007,25,39.0
25025,2008,25,34.0
25025,2009,25,46.0
25025,2010,25,34.0
25025,2011,25,50.0
25025,2012,25,30.0
25025,2013,25,20.0
25025,2014,25,40.0
25025,2015,25,17.0
25025,2016,25,9.0
26081,2002,26,105.0
26081,2003,26,36.0
26081,2004,26,40.0
26081,2005,26,30.0
26081,2006,26,29.0
26081,2007,26,9.0
26163,2000,26,134.0
26163,2001,26,161.0
26163,2002,26,115.0
26163,2003,26,134.0
26163,2004,26,111.0
26163,2005,26,146.0
26163,2006,26,105.0
27003,2011,27,30.0
27003,2012,27,4.0
27003,2014,27,11.0
27003,2015,27,10.0
29189,2000,29,144.0
29189,2001,29,77.0
29189,2002,29,85.0
29189,2003,29,107.0
29189,2004,29,85.0
29189,2005,29,79.0
29510,2000,29,103.0
29510,2001,29,130.0
29510,2002,29,89.0
29510,2003,29,89.0
29510,2004,29,117.0
29510,2005,29,94.0
29510,2006,29,99.0
29510,2007,29,96.0
29510,2008,29,104.0
29510,2013,29,70.0
29510,2014,29,66.0
29510,2015,29,57.0
29510,2016,29,7.0
32003,2001,32,34.0
32003,2002,32,24.0
32003,2003,32,27.0
32031,2010,32,6.0
32031,2011,32,10.0
32031,2012,32,9.0
32031,2013,32,11.0
32031,2014,32,9.0
32031,2015,32,10.0
32031,2016,32,7.0
33011,2002,33,67.0
33011,2003,33,57.0
33011,2004,33,55.0
33011,2005,33,89.0
33011,2006,33,86.0
33011,2007,33,100.0
33011,2008,33,72.0
33011,2009,33,120.0
33011,2010,33,87.0
33015,2014,33,6.0
33015,2015,33,13.0
33015,2016,33,4.0
34007,2000,34,91.0
34007,2001,34,92.0
34007,2002,34,101.0
34007,2003,34,92.0
34007,2004,34,71.0
34007,2005,34,57.0
34007,2006,34,90.0
34007,2007,34,60.0
34007,2008,34,50.0
34007,2012,34,24.0
34007,2013,34,34.0
34007,2014,34,14.0
34007,2015,34,29.0
34013,2001,34,141.0
34013,2002,34,105.0
34013,2003,34,117.0
34013,2011,34,33.0
34013,2012,34,24.0
34013,2013,34,13.0
34013,2014,34,19.0
34013,2015,34,11.0
35001,2011,35,6.0
35001,2012,35,9.0
35001,2013,35,7.0
35001,2014,35,92.0
35001,2015,35,9.0
36005,2000,36,105.0
36005,2001,36,105.0
36005,2002,36,99.0
36005,2003,36,110.0
36005,2004,36,97.0
36005,2005,36,86.0
36005,2006,36,106.0
36005,2007,36,82.0
36005,2008,36,67.0
36005,2009,36,97.0
36005,2010,36,86.0
36005,2011,36,67.0
36005,2012,36,46.0
36005,2013,36,36.0
36005,2014,36,29.0
36005,2015,36,19.0
36005,2016,36,14.0
36055,2011,36,36.0
36081,2000,36,101.0
36081,2001,36,81.0
36081,2002,36,176.0
36081,2003,36,76.0
36081,2004,36,111.0
36081,2005,36,105.0
36081,2006,36,99.0
36081,2007,36,86.0
36081,2008,36,57.0
36081,2009,36,54.0
36081,2010,36,50.0
36081,2011,36,55.0
36081,2012,36,86.0
36081,2013,36,26.0
36081,2014,36,21.0
36081,2015,36,14.0
36081,2016,36,13.0
36101,2008,36,33.0
36101,2009,36,40.0
36101,2010,36,31.0
36101,2011,36,26.0
36103,2000,36,86.0
36103,2001,36,61.0
36103,2002,36,61.0
36103,2003,36,69.0
36103,2004,36,94.0
36103,2005,36,105.0
36103,2006,36,86.0
36103,2007,36,65.0
36103,2008,36,92.0
36103,2009,36,64.0
36103,2010,36,26.0
37067,2000,37,30.0
37067,2001,37,97.0
37067,2002,37,132.0
37067,2003,37,101.0
37067,2004,37,118.0
37119,2000,37,92.0
37119,2001,37,132.0
37119,2002,37,92.0
37119,2003,37,105.0
37119,2004,37,82.0
37119,2005,37,116.0
37119,2006,37,104.0
37119,2007,37,127.0
37119,2008,37,110.0
37119,2009,37,84.0
37119,2010,37,46.0
37119,2011,37,30.0
37119,2012,37,20.0
37119,2013,37,14.0
37119,2014,37,11.0
37119,2015,37,23.0
37119,2016,37,6.0
37183,2014,37,11.0
37183,2015,37,13.0
37183,2016,37,6.0
38017,2008,38,6.0
38017,2009,38,11.0
38017,2010,38,10.0
38017,2011,38,13.0
38017,2012,38,7.0
38017,2013,38,9.0
38017,2014,38,3.0
38017,2015,38,4.0
38017,2016,38,1.0
39009,2009,39,119.0
39035,2011,39,107.0
39035,2012,39,124.0
39035,2013,39,117.0
39035,2014,39,95.0
39035,2015,39,108.0
39035,2016,39,55.0
39061,2011,39,161.0
39061,2012,39,133.0
39061,2013,39,116.0
39061,2014,39,122.0
39061,2015,39,62.0
39061,2016,39,14.0
39103,2009,39,64.0
39103,2010,39,54.0
40001,2008,40,14.0
40001,2009,40,26.0
40001,2010,40,9.0
40001,2011,40,19.0
40001,2012,40,9.0
40001,2013,40,0.0
40021,2000,40,86.0
40021,2001,40,26.0
40021,2002,40,21.0
40021,2003,40,27.0
40021,2004,40,114.0
40021,2005,40,101.0
40021,2006,40,200.0
40021,2007,40,105.0
40021,2008,40,19.0
40021,2009,40,3.0
40071,2000,40,103.0
40071,2001,40,107.0
40071,2002,40,113.0
40071,2003,40,96.0
40071,2004,40,123.0
40109,2011,40,9.0
40109,2012,40,9.0
40109,2013,40,7.0
40109,2014,40,10.0
40109,2015,40,4.0
40115,2001,40,70.0
40115,2002,40,21.0
40115,2003,40,10.0
40115,2004,40,20.0
40115,2005,40,11.0
40143,2006,40,52.0
40143,2007,40,47.0
40143,2008,40,39.0
40143,2009,40,99.0
40143,2010,40,40.0
40143,2011,40,43.0
40143,2012,40,29.0
40143,2013,40,51.0
40143,2014,40,13.0
40143,2015,40,19.0
40143,2016,40,13.0
41051,2007,41,10.0
41051,2008,41,21.0
41051,2009,41,27.0
41051,2010,41,11.0
41051,2011,41,16.0
41051,2012,41,13.0
41051,2013,41,16.0
41051,2014,41,6.0
41051,2015,41,11.0
42001,2014,42,17.0
42001,2015,42,24.0
42001,2016,42,7.0
42003,2000,42,117.0
42003,2001,42,109.0
42003,2002,42,107.0
42003,2003,42,140.0
42003,2004,42,102.0
42003,2005,42,111.0
42003,2006,42,102.0
42003,2007,42,104.0
42003,2008,42,84.0
42003,2009,42,82.0
42003,2010,42,52.0
42003,2011,42,57.0
42003,2012,42,49.0
42003,2013,42,112.0
42003,2014,42,79.0
42007,2000,42,104.0
42007,2001,42,124.0
42007,2002,42,120.0
42007,2003,42,120.0
42007,2004,42,155.0
42007,2005,42,111.0
42007,2006,42,90.0
42007,2007,42,100.0
42007,2008,42,81.0
42011,2000,42,135.0
42011,2001,42,125.0
42011,2002,42,156.0
42011,2003,42,150.0
42011,2004,42,134.0
42011,2005,42,124.0
42011,2006,42,104.0
42011,2007,42,99.0
42011,2008,42,110.0
42011,2009,42,79.0
42011,2010,42,59.0
42011,2011,42,54.0
42011,2012,42,14.0
42011,2013,42,47.0
42011,2014,42,30.0
42013,2000,42,69.0
42013,2001,42,91.0
42013,2002,42,82.0
42013,2003,42,75.0
42013,2004,42,72.0
42013,2005,42,104.0
42013,2006,42,60.0
42013,2007,42,90.0
42013,2008,42,80.0
42017,2000,42,82.0
42017,2001,42,51.0
42017,2002,42,80.0
42017,2003,42,61.0
