id,Year,State_Code,O3_AQI
44007,2014,44,108
44007,2015,44,159
44007,2016,44,80
45019,2003,45,114
45019,2006,45,135
45019,2007,45,84
45019,2008,45,100
45019,2009,45,64
45019,2010,45,97
45079,2016,45,47
46099,2011,46,90
46099,2012,46,100
46099,2013,46,80
46099,2014,46,105
46099,2015,46,122
46127,2013,46,71
47009,2008,47,77
47009,2009,47,122
47009,2010,47,119
47009,2015,47,105
47009,2016,47,61
47075,2002,47,151
47075,2003,47,142
47121,2002,47,185
47121,2003,47,93
48029,2008,48,109
48029,2009,48,87
48029,2010,48,87
48113,2000,48,177
48113,2001,48,192
48113,2002,48,202
48113,2003,48,206
48113,2004,48,135
48113,2005,48,172
48113,2006,48,151
48113,2007,48,114
48113,2008,48,71
48113,2009,48,100
48113,2010,48,106
48113,2011,48,137
48113,2012,48,172
48113,2013,48,154
48113,2014,48,100
48113,2015,48,147
48113,2016,48,54
48141,2000,48,154
48141,2001,48,137
48141,2002,48,164
48141,2003,48,119
48141,2004,48,122
48141,2005,48,127
48141,2006,48,142
48141,2007,48,109
48141,2008,48,124
48141,2009,48,97
48141,2010,48,129
48141,2011,48,106
48141,2012,48,104
48141,2013,48,140
48141,2014,48,115
48141,2015,48,115
48141,2016,48,64
48201,2000,48,203
48201,2001,48,204
48201,2003,48,205
48201,2004,48,202
48201,2005,48,156
48201,2006,48,202
48201,2007,48,142
48201,2008,48,151
48201,2009,48,164
48201,2010,48,145
48201,2011,48,142
48201,2012,48,197
48201,2013,48,151
48201,2014,48,151
48201,2015,48,174
48201,2016,48,74
48309,2007,48,104
48309,2008,48,111
48309,2009,48,119
48309,2010,48,100
48309,2011,48,122
48309,2012,48,129
48309,2013,48,100
48309,2014,48,105
48309,2015,48,115
48309,2016,48,64
48453,2012,48,36
48453,2013,48,129
48453,2014,48,97
49013,2012,49,87
49035,2011,49,119
49035,2012,49,127
49035,2013,49,147
49035,2014,49,122
49035,2015,49,143
49035,2016,49,36
49047,2012,49,104
49047,2013,49,179
51059,2000,51,164
51059,2006,51,161
51059,2007,51,150
51059,2008,51,166
51059,2009,51,74
51087,2010,51,38
51087,2011,51,127
51087,2012,51,154
51087,2013,51,100
51087,2014,51,84
51087,2015,51,119
51087,2016,51,44
51161,2013,51,61
51161,2014,51,71
51161,2015,51,90
51510,2000,51,150
51510,2006,51,202
51510,2007,51,137
51510,2008,51,137
51510,2009,51,80
51510,2010,51,142
51510,2011,51,161
51510,2012,51,151
51510,2013,51,100
51650,2010,51,154
51650,2011,51,109
51650,2012,51,164
51650,2013,51,90
51650,2014,51,97
51650,2015,51,90
53033,2013,53,34
53033,2014,53,44
53033,2015,53,46
53033,2016,53,35
55079,2006,55,80
55079,2007,55,28
56013,2014,56,87
56013,2015,56,71
56021,2011,56,84
56021,2012,56,93
56021,2013,56,100
56021,2014,56,100
56021,2015,56,100
56021,2016,56,49
56037,2011,56,58
56037,2012,56,80
56041,2007,56,93
56041,2008,56,67
80002,2006,80,182
80002,2007,80,211
80002,2008,80,124
80002,2009,80,42
80002,2010,80,159
80002,2011,80,36
